,0,1,2,3,4,,
0,0,"In 1979, how much did the average per capita income change for Libyans?","by 1979 the average per-capita income was at $8,170, up from $40 in 1951",. Is,0.337618841,,0.051608702
1,1,Who took over as joint justiciar with Puiset after Mandeville died?,Longchamp,cowardly stay-at-,0,,
2,2,What primarily makes up the enzymes in our body that regulate the chemical reactions that occur?,Proteins,omnivores,0,,
3,3,What percentage of Palermo residents were female in 2010?,52.60%,5 km-,0,,
4,4,Who elects the members of the Federal Council?,Federal Assembly,46.833°N 8.333°E,0.133785093,,
5,5,In what month and year did Plymouth see its highest temperature between 1971 and 2000?,Jun-76,93,0,,
6,6,In what city did the Renaissance begin?,Florence,. In the north and central climates are generally subarctic,0,,
7,7,What can happen if two over-lapping Grand Lodges are in Amity and decide to share jurisdiction?,Exclusive Jurisdiction can be waived,". After World War II, the forget-",0.126314609,,
8,8,"In 2014, what issue of U.S. News & World Report provided rankins for law schools?",Best Graduate Schools,. KU,0.090424214,,
9,9,What is the link between North and South America called?,the Isthmus of Panama,origin. Post-,0.08768682,,
10,10,When did the U.S. Senate first pass a financial reform bill?,May-10,professeurs rémunérés par l',0,,
11,11,Big room house has found increasing popularity since what year?,2010,. South African,0,,
12,12,What are ecosystems views to be?,spontaneous orders,. Andreas Hoffmann and Gunther Schnabl,0,,
13,13,Who wrote the music for Twilight Princess?,Toru Minegishi and Asuka Ohta,[d] The context-,0,,
14,14,What entity enforces the Charter of Fundamental Rights of the European Union?,European Court of Justice,". That ruling set a precedent that the commission, on a supranational",0.237875648,,
15,15,"What is the method called that mixes red, green, and blue colors to form white light?",multi-color white LEDs,illuminance,0.068657106,,
16,16,What does schlachtan mean in german?,"(""to slaughter"" or ""to butcher"")",6,0,,
17,17,Tito was awarded the Decoration of Honour for Services to the Republic of what country?,Austria,his inauguration,0,,
18,18,What sections of the Vedas did the Verdanta school favor?,latter parts,. This implies that from the point of view,0,,
19,19,When did protests in front of Carrefour's stores occur in China?,1-May,". In Japan, the Mayor of",0,,
20,20,In what month and year was the Somali alphabet introduced?,Oct-72,. The scholarly term for research concerning Somalis and,0,,
21,21,What might a partially conscious wrestler do? ,wrestler who is half-conscious may simply drape an arm over an opponent,2-by-12-,0.120810745,,
22,22,What does NARTH stand for?,The National Association for Research & Therapy of Homosexuality,. Scientific evidence on the origins,0.087044468,,
23,23,Which BMX Champion had a park named after them in Oklahoma City?,Mat Hoffman,Medicine's annual ranking of the United States',0,,
24,24,Who was it essential to Islam to imitate?,the Prophet Mohammad,". As of 2021, Al-",0,,
