topic_id,cleaned_question,answer
384,"In 1979, how much did the average per capita income change for Libyans?","by 1979 the average per-capita income was at $8,170, up from $40 in 1951"
178,Who took over as joint justiciar with Puiset after Mandeville died?,Longchamp
267,What primarily makes up the enzymes in our body that regulate the chemical reactions that occur?,Proteins
354,What percentage of Palermo residents were female in 2010?,52.6%
264,Who elects the members of the Federal Council?,Federal Assembly
68,In what month and year did Plymouth see its highest temperature between 1971 and 2000?,June 1976
65,In what city did the Renaissance begin?,Florence
207,What can happen if two over-lapping Grand Lodges are in Amity and decide to share jurisdiction?,Exclusive Jurisdiction can be waived
100,"In 2014, what issue of U.S. News & World Report provided rankins for law schools?",Best Graduate Schools
462,What is the link between North and South America called?,the Isthmus of Panama
459,When did the U.S. Senate first pass a financial reform bill?,May 2010
136,Big room house has found increasing popularity since what year?,2010
367,What are ecosystems views to be?,spontaneous orders
39,Who wrote the music for Twilight Princess?,Toru Minegishi and Asuka Ohta
9,What entity enforces the Charter of Fundamental Rights of the European Union?,European Court of Justice
439,"What is the method called that mixes red, green, and blue colors to form white light?",multi-color white LEDs
113,What does schlachtan mean in german?,"(""to slaughter"" or ""to butcher"")"
111,Tito was awarded the Decoration of Honour for Services to the Republic of what country?,Austria
299,What sections of the Vedas did the Verdanta school favor?,latter parts
49,When did protests in front of Carrefour's stores occur in China?,May 1
125,In what month and year was the Somali alphabet introduced?,October 1972
226,What might a partially conscious wrestler do? ,wrestler who is half-conscious may simply drape an arm over an opponent
193,What does NARTH stand for?,The National Association for Research & Therapy of Homosexuality
74,Which BMX Champion had a park named after them in Oklahoma City?,Mat Hoffman
30,Who was it essential to Islam to imitate?,the Prophet Mohammad
